from,to,weight
BR-ADMIEXJRE01,192.168.84.136,5
BR-ADMIEXJRE01,192.168.84.139,15
BR-ADMIEXJRE01,192.168.84.23,6
BR-ADMIEXJRE01,192.168.84.24,471
BR-ADMIEXJRE01,64.39.104.113,32
BR-ADMIEXJRE01,192.168.84.135,59
BR-ADMIEXJRE01,192.168.84.137,5
BR-ADMIEXJRE01,23.60.80.75,3
BR-ADMIEXJRE01,23.222.252.70,79
BR-ADMIEXJRE01,192.168.84.138,7
BR-ADMIEXJRE01,192.168.84.150,1
BR-ADMIEXJRE01,34.194.250.12,2
BR-ADMIEXJRE01,34.194.250.12,1
BR-ADMIEXJRE01,192.168.84.135,9
BR-ADMIEXJRE01,192.168.84.23,7377
BR-ADMIEXJRE01,34.205.5.9,3
BR-ADMIEXJRE01,34.205.5.9,4
BR-ADMIEXJRE01,192.168.10.6,1
BR-ADMIEXJRE01,192.168.84.150,929
BR-ADMIEXJRE01,10.49.211.138,2
BR-ADMIEXJRE01,192.168.9.45,34
BR-ADMIEXJRE01,34.205.5.31,2
BR-ADMIEXJRE01,34.205.5.9,3
BR-ADMIEXJRE01,52.72.213.26,964
BR-ADMIEXJRE01,192.168.83.10,156
BR-ADMIEXJRE01,192.168.84.135,1
BR-ADMIEXJRE01,192.168.84.136,1
BR-ADMIEXJRE01,192.168.84.150,1004
BR-ADMIEXJRE01,192.168.84.23,3791
BR-ADMIEXJRE01,192.168.84.24,3416
BR-ADMIEXJRE01,192.168.85.9,60397
BR-ADMIEXJRE01,192.168.9.102,139
BR-ADMIEXJRE01,192.168.9.45,10
BR-ADMIEXJRE01,2.20.52.70,13
BR-ADMIEXJRE01,23.222.252.70,64
BR-ADMIEXJRE01,23.60.80.75,2
BR-ADMIEXJRE01,54.68.97.123,2
BR-ADMIEXJRE01,95.101.88.93,49
BR-ADMIEXJRE01,10.100.155.17,1
BR-ADMIEXJRE01,10.29.108.252,1
BR-ADMIEXJRE01,10.49.211.138,3
BR-ADMIEXJRE01,192.168.84.135,2
BR-ADMIEXJRE01,192.168.84.136,1
BR-ADMIEXJRE01,192.168.84.150,3
BR-ADMIEXJRE01,192.168.84.23,8
BR-ADMIEXJRE01,192.168.84.24,4
BR-ADMIEXJRE01,192.168.85.9,166
BR-ADMIEXJRE01,34.205.5.31,3
BR-ADMIEXJRE01,34.205.5.8,1
BR-ADMIEXJRE01,34.205.5.9,5
BR-ADMIEXJRE01,52.72.213.26,4
BR-ADMIEXJRE01,54.68.97.123,4
BR-ADMIEXJRE01,192.168.10.6,9
BR-ADMIEXJRE01,192.168.10.78,5
BR-ADMIEXJRE01,192.168.83.10,2818
BR-ADMIEXJRE01,192.168.84.135,42
BR-ADMIEXJRE01,192.168.84.136,46
BR-ADMIEXJRE01,192.168.84.137,3
BR-ADMIEXJRE01,192.168.84.138,8
BR-ADMIEXJRE01,192.168.84.139,15
BR-ADMIEXJRE01,192.168.84.23,350
BR-ADMIEXJRE01,192.168.84.24,351
BR-ADMIEXJRE01,192.168.85.9,10609
BR-ADMIEXJRE01,64.39.104.113,35
BR-ADMIEXJRE01,169.254.169.254,1
BR-ADMIEXJRE01,20.1.1.151,2
BR-ADMIEXJRE01,20.1.1.151,1
BR-ADMIEXJRE01,20.1.1.151,15
BR-ADMIEXJRE01,169.254.169.254,3
BR-ADMIEXJRE01,20.1.1.151,7
BR-ADMIEXJRE01,20.1.1.151,1
BR-ADMIEXJRE01D,192.168.94.13,954
BR-ADMIEXJRE01D,2.20.52.70,24
BR-ADMIEXJRE01D,34.205.5.31,3
BR-ADMIEXJRE01D,192.168.82.55,585
BR-ADMIEXJRE01D,34.205.5.8,1
BR-ADMIEXJRE01D,44.225.240.147,2
BR-ADMIEXJRE01D,95.101.88.93,86
BR-ADMIEXJRE01D,95.101.88.93,2
BR-ADMIEXJRE01D,192.168.10.6,1
BR-ADMIEXJRE01D,54.68.97.123,1
BR-ADMIEXJRE01D,34.205.5.31,2
BR-ADMIEXJRE01D,169.254.169.254,1
BR-ADMIEXJRE01D,20.1.1.151,6
BR-ADMIEXJRE01D,20.1.1.151,3
BR-ADMIEXJRE01D,23.222.252.70,119
BR-ADMIEXJRE01D,34.205.5.9,1
BR-ADMIEXJRE01D,34.205.5.9,2
BR-ADMIEXJRE01D,44.225.240.147,4
BR-ADMIEXJRE01D,64.39.104.113,3
BR-ADMIEXJRE01D,23.60.80.75,3
BR-ADMIEXJRE01D,64.39.104.113,4
BR-ADMIEXJRE01D,192.168.10.6,3
BR-ADMIEXJRE01D,64.39.104.113,47
BR-ADMIEXJRE01D,20.1.1.151,2
BR-ADMIEXJRE01D,34.203.45.194,954
BR-ADMIEXJRE01D,34.205.5.9,1
BR-ADMIEXJRE01D,2.20.52.70,6
BR-ADMIEXJRE01D,23.222.252.70,70
BR-ADMIEXJRE01D,23.60.80.75,1
BR-ADMIEXJRE01D,64.39.104.113,5
BR-ADMIEXJRE01D,95.101.88.93,54
BR-ADMIEXJRE01D,192.168.82.55,399
BR-ADMIEXJRE01D,209.132.178.16,1
BR-ADMIEXJRE01D,34.203.45.194,7
BR-ADMIEXJRE01D,34.205.5.9,1
BR-ADMIEXJRE01D,44.225.240.147,3
BR-ADMIEXJRE01D,64.39.104.113,7
BR-ADMIEXJRE01D,95.101.88.93,1
BR-ADMIEXJRE01D,192.168.10.6,5
BR-ADMIEXJRE01D,20.1.1.151,3
BR-ADMIEXJRE01D,64.39.104.113,18
BR-ADMIEXJRE01P,169.254.169.254,2
BR-ADMIEXJRE01P,34.205.5.9,1
BR-ADMIEXJRE01P,64.39.104.113,1
BR-ADMIEXJRE01P,95.101.88.93,1
BR-ADMIEXJRE01P,209.132.178.16,4
BR-ADMIEXJRE01P,52.202.143.169,127
BR-ADMIEXJRE01P,64.39.104.113,5
BR-ADMIEXJRE01P,64.39.104.113,3
BR-ADMIEXJRE01P,23.222.252.70,33
BR-ADMIEXJRE01P,192.168.78.210,58218
BR-ADMIEXJRE01P,192.168.78.210,152
BR-ADMIEXJRE01P,34.206.179.241,837
BR-ADMIEXJRE01P,34.206.179.241,9
BR-ADMIEXJRE01P,34.205.5.31,2
BR-ADMIEXJRE01P,34.205.5.9,1
BR-ADMIEXJRE01P,34.205.5.9,3
BR-ADMIEXJRE01P,64.39.104.113,65
BR-ADMIEXJRE01P,23.222.252.70,1
BR-ADMIEXJRE01P,192.168.78.210,11891
BR-ADMIEXJRE01P,95.101.88.93,37
BR-ADMIEXJRE01P,2.20.52.70,6
BR-ADMIEXJRE01P,34.205.5.9,1
BR-ADMIEXJRE01P,192.168.78.210,44583
BR-ADMIEXJRE01P,2.20.52.70,5
BR-ADMIEXJRE01P,23.222.252.70,30
BR-ADMIEXJRE01P,23.60.80.75,2
BR-ADMIEXJRE01P,64.39.104.113,6
BR-ADMIEXJRE01P,95.101.88.93,16
BR-ADMIEXJRE01P,192.168.78.210,76
BR-ADMIEXJRE01P,34.205.5.8,2
BR-ADMIEXJRE01P,34.205.5.9,1
BR-ADMIEXJRE01P,64.39.104.113,1
BR-ADMIEXJRE01P,192.168.78.210,9376
BR-ADMIEXJRE01P,64.39.104.113,38
BR-ADMIEXJRE02,192.168.85.9,112
BR-ADMIEXJRE02,192.168.84.24,519
BR-ADMIEXJRE02,192.168.84.24,6538
BR-ADMIEXJRE02,10.49.211.138,2
BR-ADMIEXJRE02,192.168.85.9,52850
BR-ADMIEXJRE02,192.168.84.23,478
BR-ADMIEXJRE02,20.1.1.151,1
BR-ADMIEXJRE02,20.1.1.151,2
BR-ADMIEXJRE02,192.168.84.135,73
BR-ADMIEXJRE02,192.168.84.150,680
BR-ADMIEXJRE02,192.168.84.23,5807
BR-ADMIEXJRE02,52.70.113.18,6
BR-ADMIEXJRE02,192.168.84.138,10
BR-ADMIEXJRE02,2.20.52.70,13
BR-ADMIEXJRE02,10.12.61.13,1
BR-ADMIEXJRE02,10.36.230.86,2
BR-ADMIEXJRE02,64.39.104.113,36
BR-ADMIEXJRE02,192.168.10.6,2
BR-ADMIEXJRE02,44.225.240.147,4
BR-ADMIEXJRE02,192.168.84.150,2
BR-ADMIEXJRE02,34.205.5.9,1
BR-ADMIEXJRE02,23.60.80.75,4
BR-ADMIEXJRE02,192.168.84.23,3
BR-ADMIEXJRE02,192.168.9.102,177
BR-ADMIEXJRE02,192.168.10.6,1
BR-ADMIEXJRE02,192.168.84.24,8
BR-ADMIEXJRE02,192.168.9.45,14
BR-ADMIEXJRE02,192.168.84.139,14
BR-ADMIEXJRE02,52.206.208.21,651
BR-ADMIEXJRE02,52.206.208.21,4
BR-ADMIEXJRE02,192.168.84.135,2
BR-ADMIEXJRE02,192.168.84.135,1
BR-ADMIEXJRE02,192.168.10.78,5
BR-ADMIEXJRE02,209.132.178.16,1
BR-ADMIEXJRE02,209.132.178.16,1
BR-ADMIEXJRE02,95.101.88.93,81
BR-ADMIEXJRE02,192.168.84.137,14
BR-ADMIEXJRE02,23.222.252.70,92
BR-ADMIEXJRE02,192.168.84.136,83
BR-ADMIEXJRE02,64.39.104.113,1
BR-ADMIEXJRE02,192.168.85.9,10947
BR-ADMIEXJRE02,34.205.5.9,2
BR-ADMIEXJRE02,34.205.5.31,1
BR-ADMIEXJRE02,34.205.5.31,4
BR-ADMIEXJRE02,10.29.108.252,2
