from,to,weight
BR-ADMIEXJRE01,Unscanned-Device,8
BR-ADMIEXJRE01,Unscanned-Device,15
BR-ADMIEXJRE01,Unscanned-Device,350
BR-ADMIEXJRE01,Unscanned-Device,351
BR-ADMIEXJRE01,Unscanned-Device,10609
BR-ADMIEXJRE01,Unscanned-Device,35
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,15
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,7
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,954
BR-ADMIEXJRE01D,Unscanned-Device,24
BR-ADMIEXJRE01D,Unscanned-Device,3
BR-ADMIEXJRE01D,Unscanned-Device,585
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,2
BR-ADMIEXJRE01D,Unscanned-Device,86
BR-ADMIEXJRE01D,Unscanned-Device,2
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,2
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,6
BR-ADMIEXJRE01D,Unscanned-Device,3
BR-ADMIEXJRE01D,Unscanned-Device,119
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,2
BR-ADMIEXJRE01D,Unscanned-Device,4
BR-ADMIEXJRE01D,Unscanned-Device,3
BR-ADMIEXJRE01D,Unscanned-Device,3
BR-ADMIEXJRE01D,Unscanned-Device,4
BR-ADMIEXJRE01D,Unscanned-Device,3
BR-ADMIEXJRE01D,Unscanned-Device,47
BR-ADMIEXJRE01D,Unscanned-Device,2
BR-ADMIEXJRE01D,Unscanned-Device,954
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,6
BR-ADMIEXJRE01D,Unscanned-Device,70
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,5
BR-ADMIEXJRE01D,Unscanned-Device,54
BR-ADMIEXJRE01D,Unscanned-Device,399
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,7
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,3
BR-ADMIEXJRE01D,Unscanned-Device,7
BR-ADMIEXJRE01D,Unscanned-Device,1
BR-ADMIEXJRE01D,Unscanned-Device,5
BR-ADMIEXJRE01D,Unscanned-Device,3
BR-ADMIEXJRE01D,Unscanned-Device,18
BR-ADMIEXJRE01P,Unscanned-Device,2
BR-ADMIEXJRE01P,Unscanned-Device,1
BR-ADMIEXJRE01P,Unscanned-Device,1
BR-ADMIEXJRE01P,Unscanned-Device,1
BR-ADMIEXJRE01P,Unscanned-Device,4
BR-ADMIEXJRE01P,Unscanned-Device,127
BR-ADMIEXJRE01P,Unscanned-Device,5
BR-ADMIEXJRE01P,Unscanned-Device,3
BR-ADMIEXJRE01P,Unscanned-Device,33
BR-ADMIEXJRE01P,Unscanned-Device,58218
